Jie Fu
Marc-Alexandre Côté
Chris Pal
Adam Trischler
Junghyun Min
R. Thomas McCoy
Dipanjan Das
Emily Pitler
Tal Linzen
Yu-An Chung
Wasifur Rahman
Md Kamrul Hasan
Sangwu Lee
AmirAli Bagher Zadeh
Chengfeng Mao
Louis-Philippe Morency
Ehsan Hoque
Jakob D. Havtorn
Jan Latko
Joakim Edin
Lars Maaløe
Lasse Borgholt
Lorenzo Belgrano
Nicolai Jacobsen
Regitze Sdun
Željko Agić
Georgios Paraskevopoulos
Srinivas Parthasarathy
Aparna Khare
Shiva Sundaram
Elizabeth Salesky
Hyundong Cho
Jonathan May
Samuel Humeau
Antoine Bordes
Prasanna Parthasarathi
Jasmine Wang
Ryan Lowe
William L. Hamilton
Joelle Pineau
Matthew Roddy
Naomi Harte
Da JU
Stephen Roller
Emily Dinan
Tim Van de Cruys
Chao Zhao
Marilyn Walker
Chris Donahue
Mina Lee
Yichen Huang
Yizhe Zhang
Oussama Elachqar
Yu Cheng
Ruiyi Zhang
Zhe Gan
Wenlin Wang
Guoyin Wang
Zheng Wen
Lawrence Carin
Nabil Hossain
Marjan Ghazvininejad
Wang Zhu
Hexiang Hu
Jiacheng Chen
Zhiwei Deng
Vihan Jain
Eugene Ie
Fei Sha
Manling Li
Alireza Zareian
Qi Zeng
Spencer Whitehead
Di Lu
Heng Ji
Shih-Fu Chang
Daniel Fried
Jean-Baptiste Alayrac
Phil Blunsom
Chris Dyer
Stephen Clark
Aida Nematzadeh
Prashant Jayannavar
Anjali Narayan-Chen
Julia Hockenmaier
Jie Lei
Liwei Wang
Yelong Shen
Tamara Berg
Mohit Bansal
Noriyuki Kojima
Hadar Averbuch-Elor
Alexander Rush
Yoav Artzi
Qile Zhu
Xiyao Ma
Xiaolin Li
Dapeng Wu
Simran Arora
Avner May
Jian Zhang
Christopher Ré
Lili Yu
Howard Chen
Sida I. Wang
Tao Lei
Mrinmaya Sachan
Tal Perl
Sriram Chaudhury
Raja Giryes
Julian Salazar
Davis Liang
Toan Q. Nguyen
Katrin Kirchhoff
Yun Tang
Jing Huang
Guangtao Wang
Taehee Jung
Dongyeop Kang
Hua Cheng
Lucas Mentch
Thomas Schaaf
Xiang Lisa Li
Dan Hendrycks
Xiaoyuan Liu
Eric Wallace
Adam Dziedzic
Rishabh Krishnan
Dawn Song
Erik Jones
Robin Jia
Aditi Raghunathan
Xinyu Liu
Michael Glass
G P Shrivatsa Bhargav
Keita Kurita
Paul Michel
Ashish Khetan
Zohar Karnin
Lifu Tu
Richard Yuanzhe Pang
Sam Wiseman
Kevin Gimpel
Aditya Siddhant
Ankur Bapna
Yuan Cao
Orhan Firat
Mia Chen
Sneha Kudugunta
Naveen Arivazhagan
Yonghui Wu
Sergey Edunov
Myle Ott
Marc’Aurelio Ranzato
Michael Auli
Hairong Liu
Michele Bevilacqua
Roberto Navigli
Hong-You Chen
SZ-HAN YU
Shou-de Lin
Marek Rei
Roi Reichart
Anna Korhonen
Anna Hätty
Dominik Schlechtweg
Michael Dorna
Sabine Schulte im Walde
Omid Rohanian
Shiva Taslimipoor
Le An Ha
kobi leins
Jey Han Lau
Timothy Baldwin
Kawin Ethayarajh
Samson Tan
Shengyu Jia
Tao Meng
Andrew Gaut
Tony Sun
Shirlyn Tang
Yuxin Huang
Jing Qian
Mai ElSherief
Diba Mirza
Elizabeth Belding
Kartik Goyal
Christopher Warren
Maxwell G’Sell
Taylor Berg-Kirkpatrick
Chuhan Wu
Tao Qi
Xiaohui Cui
Yongfeng Huang
Fynn Schröder
Chris Biemann
Xinwei Geng
Xing Wang
Bing Qin
Zhaopeng Tu
Ofir Press
Omer Levy
Ryosuke Kuwabara
Hideki Nakayama
Zhiquan Ye
Yuxia Geng
Jiaoyan Chen
Jingmin Chen
Xiaoxiao Xu
SuHang Zheng
Jun Zhang
Huajun Chen
Yongjing Yin
Jinsong Su
Chulun Zhou
Zhengyuan Yang
Jiebo Luo
Xu Zhao
Zihao Wang
Yong Zhang
Hao Wu
Xuanli He
Gholamreza Haffari
Mohammad Norouzi
Pratik Jawanpuria
Mayank Meghwanshi
Bamdev Mishra
Qiu Ran
Yankai Lin
Peng Li
Shuo Wang
Yang Liu
Zhuoren Jiang
Zhe Gao
Yangyang Kang
Changlong Sun
Xiaozhong Liu
Nuo Xu
Pinghui Wang
Long Chen
Li Pan
Xiaoyan Wang
Junzhou Zhao
Liting Liu
Jie Liu
Wenzheng Zhang
Ziming Chi
Wenxuan Shi
Yalou Huang
Pengfei Cao
Yubo Chen
Kang Liu
Jun Zhao
Shengping Liu
Weifeng Chong
Boli Chen
Xin Huang
Lin Xiao
Liping Jing
Kushal Chauhan
Abhirut Gupta
Jifan Yu
Gan Luo
Tong Xiao
Qingyang Zhong
Yuquan Wang
wenzheng feng
Junyi Luo
Chenyu Wang
Lei Hou
Juanzi Li
Jie Tang
Jun Chen
Xiaoya Dai
Quan Yuan
Chao Lu
Haifeng Huang
Roxanne El Baff
Henning Wachsmuth
Zixiang Ding
Rui Xia
Jianfei Yu
Penghui Wei
Jiahao Zhao
Wenji Mao
Stéphan Tulkens
Andreas van Cranenburgh
Bowen Zhang
